datetimes,used_power
2017/05/06,7.88
2017/05/05,9.04
2017/05/04,8.83
2017/05/03,8.88
2017/05/02,5.08
2017/05/01,5.51
2017/04/30,4.85
2017/04/29,5.26
2017/04/28,4.91
2017/04/27,5.76
2017/04/26,5.87
2017/04/25,6.11
2017/04/24,5.27
2017/04/23,5.55
2017/04/22,5.47
2017/04/21,5.28
2017/04/20,5.81
2017/04/19,5.35
2017/04/18,5.88
2017/04/17,6.17
2017/04/16,5.23
2017/04/15,5.56
2017/04/14,5.68
2017/04/13,6.34
2017/04/12,5.59
2017/04/11,5.62
2017/04/10,6.06
2017/04/09,5.7
2017/04/08,5.83
2017/04/07,6.33
2017/04/06,5.79
2017/04/05,6.98
2017/04/04,5.54
2017/04/03,6.38
2017/04/02,5.47
2017/04/01,6.47
2017/03/31,5.91
2017/03/30,6.4
2017/03/29,6.27
2017/03/28,7.07
2017/03/27,6.21
2017/03/26,6.1
2017/03/25,6.02
2017/03/24,6.2
2017/03/23,6.59
2017/03/22,6.78
2017/03/21,6.3
2017/03/20,6.99
2017/03/19,6.55
2017/03/18,7.02
2017/03/17,5.62
2017/03/16,7.56
2017/03/15,6.23
2017/03/14,8.59
2017/03/13,7.43
2017/03/12,8.22
2017/03/11,7.34
2017/03/10,6.21
2017/03/09,6.69
2017/03/08,6.95
2017/03/07,6.04
2017/03/06,6.8
2017/03/05,6.67
2017/03/04,6.99
2017/03/03,5.98
2017/03/02,7.63
2017/03/01,6.54
2017/02/28,7.46
2017/02/27,7.73
2017/02/26,6.38
2017/02/25,8.06
2017/02/24,7.29
2017/02/23,7.38
2017/02/22,7.65
2017/02/21,7.28
2017/02/20,7.88
2017/02/19,6.95
2017/02/18,27.66
2017/01/15,5.93
2017/01/14,6.8
2017/01/13,11.71
2017/01/12,11.07
2017/01/11,12.3
2017/01/10,11.2
2017/01/09,12.55
2017/01/08,11.0
2017/01/07,11.9
2017/01/06,11.04
2017/01/05,12.42
2017/01/04,11.4
2017/01/03,11.75
2017/01/02,11.9
2017/01/01,12.92
